Season,Week,Fan_Influence_Rank,Fan_Influence_Percent,Difference
12,5,0.6018957345971564,0.004739336492890995,-0.5971563981042654
12,6,0.572093023255814,0.11627906976744187,-0.45581395348837217
12,7,0.494129957716313,0.16822429906542052,-0.3259056586508925
13,1,1.0,1.0,0.0
13,2,0.8071428571428572,0.6071428571428571,-0.20000000000000007
13,3,0.6357142857142858,0.29285714285714287,-0.3428571428571429
13,4,0.6607773851590106,0.06713780918727914,-0.5936395759717314
13,5,0.5425541111296178,0.12408759124087591,-0.4184665198887419
13,6,0.44679149668434154,0.2452830188679245,-0.20150847781641704
13,7,0.4207315073432155,0.10175438596491228,-0.31897712137830325
14,2,1.0,1.0,0.0
14,3,0.8472727272727273,0.6,-0.2472727272727273
14,4,0.7477650605407349,0.29285714285714287,-0.454907917683592
14,5,0.9929328621908128,1.0,0.007067137809187218
14,6,0.7446808510638298,0.3617021276595745,-0.38297872340425526
14,7,0.3248196815278063,0.19999999999999998,-0.12481968152780634
15,1,1.0,1.0,0.0
15,2,0.8681318681318682,0.6373626373626374,-0.23076923076923073
15,3,0.6983240223463686,0.329608938547486,-0.36871508379888257
15,4,0.5698555528602749,0.08781869688385269,-0.4820368559764222
15,6,0.3738373782721882,0.17318435754189943,-0.2006530207302888
15,8,0.46761475177114303,0.15806229258021884,-0.3095524591909242
16,3,0.8928571428571428,0.6071428571428571,-0.2857142857142857
16,4,0.8303886925795053,0.4346289752650177,-0.3957597173144876
16,5,0.9572953736654806,0.9572953736654806,0.0
16,6,0.5442931012604157,0.12,-0.42429310126041575
16,7,0.6617873041774103,0.32330827067669166,-0.3384790335007186
16,8,0.4699646643109541,0.16607773851590105,-0.30388692579505305
17,2,0.9928825622775801,0.9928825622775801,0.0
17,3,0.8928571428571428,0.6071428571428571,-0.2857142857142857
17,4,0.8222222222222222,0.6444444444444444,-0.1777777777777778
17,5,0.6245487364620939,0.046931407942238275,-0.5776173285198556
17,7,0.518784372145486,0.09999999999999999,-0.41878437214548603
17,8,0.5547703180212015,0.16607773851590105,-0.38869257950530045
18,2,0.8643775434638126,0.6028880866425993,-0.2614894568212133
18,5,0.6976755349542741,0.05714285714285714,-0.640532677811417
18,6,0.5345454545454545,0.12,-0.41454545454545455
18,7,0.44893173850631335,0.24060150375939848,-0.20833023474691487
19,1,0.9986139979479093,1.0,0.001386002052090718
19,2,0.8774373259052924,0.6323119777158774,-0.245125348189415
19,3,0.838263439505515,0.5518207282913165,-0.2864427112141985
19,4,0.6499999999999999,0.1,-0.5499999999999999
19,6,0.6203966005665723,0.08781869688385269,-0.5325779036827196
19,7,0.4979144272920255,0.16991643454039,-0.32799799275163555
19,8,0.40116279069767447,0.25581395348837205,-0.14534883720930242
20,2,0.9044117647058824,0.6691176470588236,-0.23529411764705876
20,3,0.8752210353033736,0.6140350877192983,-0.2611859475840753
20,4,0.7473684210526317,0.30526315789473685,-0.44210526315789483
20,5,0.6607773851590106,0.06713780918727914,-0.5936395759717314
20,6,0.5289855072463768,0.11594202898550725,-0.41304347826086957
20,7,0.6204379562043796,0.20437956204379562,-0.416058394160584
20,8,0.44202898550724645,0.1956521739130435,-0.24637681159420297
21,2,0.9603399433427763,0.9560293305465636,-0.004310612796212698
21,4,0.9832869080779945,1.0,0.01671309192200554
21,6,0.9855692288576486,0.9999999999999999,0.01443077114235125
21,7,0.5815608687301053,0.18980169971671387,-0.39175916901339136
21,8,0.46418023085142984,0.22727272727272724,-0.2369075035787026
22,2,1.0,1.0,0.0
22,3,0.8932384341637012,0.608540925266904,-0.28469750889679724
22,4,0.7446808510638298,0.29787234042553196,-0.4468085106382978
22,6,0.8071428571428572,0.4214285714285715,-0.3857142857142857
22,7,0.5357142857142857,0.09999999999999999,-0.4357142857142857
23,2,0.9833795013850417,0.9445983379501386,-0.03878116343490312
23,3,0.8830083565459609,0.6323119777158774,-0.25069637883008344
23,4,0.84184753122363,0.553072625698324,-0.28877490552530594
23,6,0.6145251396648044,0.07262569832402234,-0.541899441340782
23,7,0.4748603351955307,0.17318435754189943,-0.3016759776536313
23,8,0.39358600583090386,0.25947521865889217,-0.1341107871720117
24,2,1.0,1.0,0.0
24,3,0.874337652656179,0.6113074204946997,-0.26303023216147936
24,4,0.7563501382570796,0.3003533568904594,-0.45599678136662025
24,5,0.5658362989323843,0.06049822064056939,-0.5053380782918149
24,6,0.3481355402828272,0.0921985815602837,-0.2559369587225435
24,7,0.4937396093522556,0.17857142857142858,-0.315168180780827
25,2,1.0,1.0,0.0
25,4,0.9068712859061995,0.2682926829268293,-0.6385786029793702
25,5,0.6620498614958449,0.10249307479224377,-0.5595567867036011
25,6,0.7613636363636364,0.3181818181818182,-0.4431818181818182
25,7,0.553072625698324,0.17318435754189943,-0.3798882681564246
26,1,0.9441175904999112,0.9259259259259257,-0.018191664573985467
26,2,0.7037037037037037,0.2222222222222222,-0.4814814814814815
26,3,0.3625,0.125,-0.2375
27,1,0.943502824858757,0.8418079096045199,-0.10169491525423713
27,2,0.8817811031988192,0.6333333333333333,-0.2484477698654859
27,3,0.7262569832402235,0.329608938547486,-0.39664804469273746
27,4,0.6528410281374707,0.10743801652892564,-0.5454030116085451
27,6,0.5649001454906275,0.0909090909090909,-0.4739910545815366
27,7,0.47093023255813954,0.22093023255813954,-0.25
28,2,0.9930069930069931,0.9930069930069931,0.0
28,4,0.9930069930069931,0.9790209790209792,-0.013986013986013957
28,7,0.9020979020979022,0.8181818181818183,-0.08391608391608385
28,9,0.9281975705483089,0.8041958041958043,-0.1240017663525046
29,2,1.0,1.0,0.0
29,3,0.999106743903916,0.9964285714285712,-0.0026781724753447422
29,4,0.9892857142857142,0.9892857142857142,0.0
29,5,0.9892857142857142,0.9785714285714284,-0.010714285714285787
29,6,0.9749999999999999,0.9571428571428571,-0.017857142857142794
29,7,0.9848082574079745,0.9464285714285712,-0.03837968597940333
30,2,1.0,1.0,0.0
30,3,0.9222523789882303,0.9892857142857142,0.0670333352974839
30,4,0.9964285714285712,0.9892857142857142,-0.0071428571428570065
30,6,0.9848082574079745,0.9464285714285712,-0.03837968597940333
30,7,0.9535714285714283,0.8892857142857141,-0.06428571428571417
31,1,0.9992644353546792,1.0,0.0007355646453207632
31,2,0.9970588235294118,0.9970588235294118,0.0
31,3,0.9911764705882352,0.9911764705882352,0.0
31,4,0.9948494231218897,0.9823529411764707,-0.01249648194541908
31,5,0.9543456594382896,0.888235294117647,-0.06611036532064263
32,1,1.0,1.0,0.0
32,2,0.9658971741438244,0.9824175824175824,0.016520408273758003
32,3,0.9956043956043955,0.9868131868131869,-0.008791208791208649
32,5,0.8769230769230769,0.8109890109890111,-0.06593406593406581
33,2,0.9780219780219779,0.9945054945054945,0.016483516483516647
33,3,0.9835164835164836,0.9835164835164836,0.0
33,4,0.9285714285714285,0.9285714285714285,0.0
33,5,0.8528206142151307,0.6648351648351648,-0.18798544937996586
34,2,1.0,1.0,0.0
34,3,0.9922998303846577,0.9868131868131869,-0.005486643571470884
34,6,0.9692307692307693,0.9516483516483516,-0.017582417582417742
