Season,Week,Contestant,Rank_System_Place,Percent_System_Place,Diff
2,3,Giselle Fernandez,8.0,8.0,0.0
2,3,Master P,5.5,7.0,-1.5
2,3,Drew Lachey,2.5,2.0,0.5
2,4,Tia Carrere,3.0,3.0,0.0
2,4,George Hamilton,3.0,4.0,-1.0
2,4,Lisa Rinna,5.0,5.0,0.0
2,4,Stacy Keibler,6.0,6.0,0.0
2,4,Jerry Rice,3.0,2.0,1.0
2,4,Master P,7.0,7.0,0.0
2,4,Drew Lachey,1.0,1.0,0.0
2,5,Tia Carrere,6.0,6.0,0.0
2,5,George Hamilton,3.0,5.0,-2.0
2,5,Lisa Rinna,3.0,4.0,-1.0
2,5,Stacy Keibler,3.0,1.0,2.0
2,5,Jerry Rice,3.0,2.0,1.0
2,5,Drew Lachey,3.0,3.0,0.0
2,6,George Hamilton,5.0,5.0,0.0
2,6,Lisa Rinna,2.0,4.0,-2.0
2,6,Stacy Keibler,3.5,3.0,0.5
2,6,Jerry Rice,3.5,1.0,2.5
2,6,Drew Lachey,1.0,2.0,-1.0
2,7,Lisa Rinna,4.0,4.0,0.0
2,7,Stacy Keibler,2.0,3.0,-1.0
2,7,Jerry Rice,3.0,1.0,2.0
2,7,Drew Lachey,1.0,2.0,-1.0
3,1,Harry Hamlin,8.0,8.0,0.0
3,1,Vivica A. Fox,3.5,3.5,0.0
3,1,Monique Coleman,6.0,6.0,0.0
3,1,Joey Lawrence,5.0,5.0,0.0
3,1,Mario Lopez,1.0,1.0,0.0
3,1,Emmitt Smith,2.0,2.0,0.0
3,1,Shanna Moakler,7.0,7.0,0.0
3,1,Willa Ford,3.5,3.5,0.0
3,1,Sara Evans,10.0,10.0,0.0
3,1,Jerry Springer,9.0,9.0,0.0
3,1,Tucker Carlson,11.0,11.0,0.0
3,2,Harry Hamlin,9.5,7.5,2.0
3,2,Vivica A. Fox,3.5,3.5,0.0
3,2,Monique Coleman,2.0,2.0,0.0
3,2,Joey Lawrence,1.0,1.0,0.0
3,2,Mario Lopez,9.5,7.5,2.0
3,2,Emmitt Smith,3.5,3.5,0.0
3,2,Shanna Moakler,8.0,10.0,-2.0
3,2,Willa Ford,5.0,5.0,0.0
3,2,Sara Evans,7.0,6.0,1.0
3,2,Jerry Springer,6.0,9.0,-3.0
3,3,Harry Hamlin,8.0,9.0,-1.0
3,3,Vivica A. Fox,1.0,1.0,0.0
3,3,Monique Coleman,2.0,2.0,0.0
3,3,Joey Lawrence,5.0,5.0,0.0
3,3,Mario Lopez,5.0,5.0,0.0
3,3,Emmitt Smith,7.0,8.0,-1.0
3,3,Willa Ford,5.0,5.0,0.0
3,3,Sara Evans,3.0,3.0,0.0
3,3,Jerry Springer,9.0,7.0,2.0
3,4,Vivica A. Fox,7.0,8.0,-1.0
3,4,Monique Coleman,6.0,5.0,1.0
3,4,Joey Lawrence,3.0,3.0,0.0
3,4,Mario Lopez,1.0,1.0,0.0
3,4,Emmitt Smith,4.5,4.0,0.5
3,4,Willa Ford,2.0,2.0,0.0
3,4,Sara Evans,4.5,7.0,-2.5
3,4,Jerry Springer,8.0,6.0,2.0
3,5,Monique Coleman,2.0,2.0,0.0
3,5,Joey Lawrence,7.0,4.0,3.0
3,5,Mario Lopez,2.0,2.0,0.0
3,5,Emmitt Smith,2.0,2.0,0.0
3,5,Willa Ford,6.0,7.0,-1.0
3,5,Sara Evans,4.5,5.5,-1.0
3,5,Jerry Springer,4.5,5.5,-1.0
3,7,Monique Coleman,5.0,4.0,1.0
3,7,Joey Lawrence,2.0,2.0,0.0
3,7,Mario Lopez,3.5,3.0,0.5
3,7,Emmitt Smith,1.0,1.0,0.0
3,7,Sara Evans,3.5,5.0,-1.5
3,7,Jerry Springer,6.0,6.0,0.0
3,8,Monique Coleman,5.0,5.0,0.0
3,8,Joey Lawrence,2.0,2.0,0.0
3,8,Mario Lopez,1.0,1.0,0.0
3,8,Emmitt Smith,4.0,3.0,1.0
3,8,Sara Evans,3.0,4.0,-1.0
4,2,John Ratzenberger,9.0,8.0,1.0
4,2,Ian Ziering,5.0,5.0,0.0
4,2,Clyde Drexler,6.0,10.0,-4.0
4,2,Laila Ali,1.0,1.0,0.0
4,2,Apolo Anton Ohno,2.0,2.0,0.0
4,2,Shandi Finnessey,11.0,9.0,2.0
4,2,Paulina Porizkova,10.0,11.0,-1.0
4,2,Heather Mills,3.5,3.5,0.0
4,2,Billy Ray Cyrus,7.5,6.5,1.0
4,2,Joey Fatone,3.5,3.5,0.0
4,2,Leeza Gibbons,7.5,6.5,1.0
4,3,John Ratzenberger,10.0,8.0,2.0
4,3,Ian Ziering,3.5,3.5,0.0
4,3,Clyde Drexler,5.5,9.0,-3.5
4,3,Laila Ali,7.0,6.0,1.0
4,3,Apolo Anton Ohno,5.5,5.0,0.5
4,3,Shandi Finnessey,9.0,10.0,-1.0
4,3,Heather Mills,3.5,3.5,0.0
4,3,Billy Ray Cyrus,8.0,7.0,1.0
4,3,Joey Fatone,1.5,1.5,0.0
4,3,Leeza Gibbons,1.5,1.5,0.0
4,4,John Ratzenberger,7.0,7.0,0.0
4,4,Ian Ziering,3.0,3.0,0.0
4,4,Clyde Drexler,8.0,8.0,0.0
4,4,Laila Ali,5.5,5.5,0.0
4,4,Apolo Anton Ohno,2.0,2.0,0.0
4,4,Heather Mills,4.0,4.0,0.0
4,4,Billy Ray Cyrus,5.5,5.5,0.0
4,4,Joey Fatone,1.0,1.0,0.0
4,4,Leeza Gibbons,9.0,9.0,0.0
4,5,John Ratzenberger,6.0,6.0,0.0
4,5,Ian Ziering,4.0,4.0,0.0
4,5,Clyde Drexler,8.0,8.0,0.0
4,5,Laila Ali,2.0,2.0,0.0
4,5,Apolo Anton Ohno,1.0,1.0,0.0
4,5,Heather Mills,5.0,5.0,0.0
4,5,Billy Ray Cyrus,7.0,7.0,0.0
4,5,Joey Fatone,3.0,3.0,0.0
4,6,John Ratzenberger,5.0,6.0,-1.0
4,6,Ian Ziering,4.0,4.0,0.0
4,6,Laila Ali,1.0,1.0,0.0
4,6,Apolo Anton Ohno,2.0,2.0,0.0
4,6,Heather Mills,6.5,7.0,-0.5
4,6,Billy Ray Cyrus,6.5,5.0,1.5
4,6,Joey Fatone,3.0,3.0,0.0
4,7,John Ratzenberger,5.5,6.0,-0.5
4,7,Ian Ziering,3.5,3.5,0.0
4,7,Laila Ali,1.5,1.5,0.0
4,7,Apolo Anton Ohno,3.5,3.5,0.0
4,7,Billy Ray Cyrus,5.5,5.0,0.5
4,7,Joey Fatone,1.5,1.5,0.0
4,8,Ian Ziering,4.0,4.0,0.0
4,8,Laila Ali,3.0,3.0,0.0
4,8,Apolo Anton Ohno,1.0,1.0,0.0
4,8,Billy Ray Cyrus,5.0,5.0,0.0
4,8,Joey Fatone,2.0,2.0,0.0
4,9,Ian Ziering,4.0,4.0,0.0
4,9,Laila Ali,1.5,1.5,0.0
4,9,Apolo Anton Ohno,3.0,3.0,0.0
4,9,Joey Fatone,1.5,1.5,0.0
5,1,Cameron Mathison,7.0,7.0,0.0
5,1,Jane Seymour,4.0,4.0,0.0
5,1,Sabrina Bryan,1.0,1.0,0.0
5,1,Jennie Garth,7.0,7.0,0.0
5,1,Floyd Mayweather Jr. ,11.0,11.0,0.0
5,1,Josie Maran,12.0,12.0,0.0
5,1,Albert Reed,7.0,7.0,0.0
5,1,Helio Castroneves,2.0,2.0,0.0
5,1,Mel B,3.0,3.0,0.0
5,1,Wayne Newton,10.0,10.0,0.0
5,1,Marie Osmond,7.0,7.0,0.0
5,1,Mark Cuban,7.0,7.0,0.0
5,2,Cameron Mathison,7.5,6.5,1.0
5,2,Jane Seymour,7.5,6.5,1.0
5,2,Sabrina Bryan,2.0,2.0,0.0
5,2,Jennie Garth,7.5,6.5,1.0
5,2,Floyd Mayweather Jr. ,7.5,6.5,1.0
5,2,Albert Reed,10.0,11.0,-1.0
5,2,Helio Castroneves,1.0,1.0,0.0
5,2,Mel B,4.0,4.0,0.0
5,2,Wayne Newton,5.0,10.0,-5.0
5,2,Marie Osmond,3.0,3.0,0.0
5,2,Mark Cuban,11.0,9.0,2.0
5,3,Cameron Mathison,7.0,7.0,0.0
5,3,Jane Seymour,2.0,2.0,0.0
5,3,Sabrina Bryan,2.0,2.0,0.0
5,3,Jennie Garth,4.5,4.5,0.0
5,3,Floyd Mayweather Jr. ,8.0,8.0,0.0
5,3,Helio Castroneves,6.0,6.0,0.0
5,3,Mel B,2.0,2.0,0.0
5,3,Wayne Newton,10.0,10.0,0.0
5,3,Marie Osmond,4.5,4.5,0.0
5,3,Mark Cuban,9.0,9.0,0.0
5,4,Cameron Mathison,3.0,3.0,0.0
5,4,Jane Seymour,6.0,6.0,0.0
5,4,Sabrina Bryan,1.0,1.0,0.0
5,4,Jennie Garth,3.0,3.0,0.0
5,4,Floyd Mayweather Jr. ,8.5,9.0,-0.5
5,4,Helio Castroneves,3.0,3.0,0.0
5,4,Mel B,6.0,6.0,0.0
5,4,Marie Osmond,6.0,6.0,0.0
5,4,Mark Cuban,8.5,8.0,0.5
5,5,Cameron Mathison,3.5,3.5,0.0
5,5,Jane Seymour,3.5,3.5,0.0
5,5,Sabrina Bryan,2.0,2.0,0.0
5,5,Jennie Garth,5.0,5.0,0.0
5,5,Helio Castroneves,6.0,6.0,0.0
5,5,Mel B,1.0,1.0,0.0
5,5,Marie Osmond,7.0,7.0,0.0
5,5,Mark Cuban,8.0,8.0,0.0
5,6,Cameron Mathison,4.0,4.0,0.0
5,6,Jane Seymour,5.0,6.0,-1.0
5,6,Sabrina Bryan,6.0,7.0,-1.0
5,6,Jennie Garth,3.0,3.0,0.0
5,6,Helio Castroneves,2.0,2.0,0.0
5,6,Mel B,1.0,1.0,0.0
5,6,Marie Osmond,7.0,5.0,2.0
5,7,Cameron Mathison,5.0,5.0,0.0
5,7,Jane Seymour,6.0,6.0,0.0
5,7,Jennie Garth,2.0,2.0,0.0
5,7,Helio Castroneves,3.5,3.5,0.0
5,7,Mel B,1.0,1.0,0.0
5,7,Marie Osmond,3.5,3.5,0.0
5,8,Cameron Mathison,4.0,5.0,-1.0
5,8,Jennie Garth,4.0,3.0,1.0
5,8,Helio Castroneves,1.0,1.0,0.0
5,8,Mel B,2.0,2.0,0.0
5,8,Marie Osmond,4.0,4.0,0.0
5,9,Jennie Garth,4.0,4.0,0.0
5,9,Helio Castroneves,1.0,1.0,0.0
5,9,Mel B,2.0,2.0,0.0
5,9,Marie Osmond,3.0,3.0,0.0
6,2,Cristian de la Fuente,8.0,8.0,0.0
6,2,Steve Guttenberg,11.0,11.0,0.0
6,2,Priscilla Presley,6.5,6.5,0.0
6,2,Marlee Matlin,4.5,4.5,0.0
6,2,Shannon Elizabeth,4.5,4.5,0.0
6,2,Marissa Jaret Winokur,6.5,6.5,0.0
6,2,Jason Taylor,1.5,1.5,0.0
6,2,Kristi Yamaguchi,1.5,1.5,0.0
6,2,Monica Seles,12.0,12.0,0.0
6,2,Penn Jillette,10.0,10.0,0.0
6,2,Adam Carolla,9.0,9.0,0.0
6,2,Mario,3.0,3.0,0.0
6,3,Cristian de la Fuente,3.0,3.0,0.0
6,3,Steve Guttenberg,10.0,10.0,0.0
6,3,Priscilla Presley,2.0,2.0,0.0
6,3,Marlee Matlin,6.0,6.0,0.0
6,3,Shannon Elizabeth,4.0,4.0,0.0
6,3,Marissa Jaret Winokur,7.0,9.0,-2.0
6,3,Jason Taylor,5.0,5.0,0.0
6,3,Kristi Yamaguchi,1.0,1.0,0.0
6,3,Adam Carolla,8.5,7.5,1.0
6,3,Mario,8.5,7.5,1.0
6,4,Cristian de la Fuente,4.0,4.0,0.0
6,4,Priscilla Presley,8.0,8.0,0.0
6,4,Marlee Matlin,6.0,6.0,0.0
6,4,Shannon Elizabeth,3.0,3.0,0.0
6,4,Marissa Jaret Winokur,6.0,6.0,0.0
6,4,Jason Taylor,1.5,1.5,0.0
6,4,Kristi Yamaguchi,1.5,1.5,0.0
6,4,Adam Carolla,9.0,9.0,0.0
6,4,Mario,6.0,6.0,0.0
6,5,Cristian de la Fuente,5.5,5.5,0.0
6,5,Priscilla Presley,8.0,8.0,0.0
6,5,Marlee Matlin,7.0,7.0,0.0
6,5,Shannon Elizabeth,5.5,5.5,0.0
6,5,Marissa Jaret Winokur,4.0,4.0,0.0
6,5,Jason Taylor,2.5,2.5,0.0
6,5,Kristi Yamaguchi,1.0,1.0,0.0
6,5,Mario,2.5,2.5,0.0
6,6,Cristian de la Fuente,3.0,3.0,0.0
6,6,Marlee Matlin,7.0,7.0,0.0
6,6,Shannon Elizabeth,5.5,5.5,0.0
6,6,Marissa Jaret Winokur,4.0,4.0,0.0
6,6,Jason Taylor,5.5,5.5,0.0
6,6,Kristi Yamaguchi,1.0,1.0,0.0
6,6,Mario,2.0,2.0,0.0
6,7,Cristian de la Fuente,3.5,5.0,-1.5
6,7,Shannon Elizabeth,6.0,6.0,0.0
6,7,Marissa Jaret Winokur,3.5,3.0,0.5
6,7,Jason Taylor,1.0,1.0,0.0
6,7,Kristi Yamaguchi,2.0,2.0,0.0
6,7,Mario,5.0,4.0,1.0
6,8,Cristian de la Fuente,1.0,1.0,0.0
6,8,Marissa Jaret Winokur,3.0,4.0,-1.0
6,8,Jason Taylor,4.5,3.0,1.5
6,8,Kristi Yamaguchi,2.0,2.0,0.0
6,8,Mario,4.5,5.0,-0.5
6,9,Cristian de la Fuente,2.0,2.0,0.0
6,9,Marissa Jaret Winokur,4.0,4.0,0.0
6,9,Jason Taylor,3.0,3.0,0.0
6,9,Kristi Yamaguchi,1.0,1.0,0.0
7,1,Ted McGinley,11.5,13.0,-1.5
7,1,Cloris Leachman,13.0,11.0,2.0
7,1,Susan Lucci,10.0,9.0,1.0
7,1,Cody Linley,6.0,6.0,0.0
7,1,Misty May-Treanor,5.0,5.0,0.0
7,1,Maurice Greene,8.0,7.0,1.0
7,1,Warren Sapp,4.0,4.0,0.0
7,1,Jeffrey Ross,7.0,12.0,-5.0
7,1,Toni Braxton,2.0,2.0,0.0
7,1,Lance Bass,3.0,3.0,0.0
7,1,Kim Kardashian,9.0,8.0,1.0
7,1,Rocco DiSpirito,11.5,10.0,1.5
7,1,Brooke Burke,1.0,1.0,0.0
7,2,Cloris Leachman,9.0,9.0,0.0
7,2,Susan Lucci,5.0,5.0,0.0
7,2,Cody Linley,5.0,5.0,0.0
7,2,Misty May-Treanor,5.0,5.0,0.0
7,2,Maurice Greene,8.0,8.0,0.0
7,2,Warren Sapp,1.5,1.5,0.0
7,2,Toni Braxton,3.0,3.0,0.0
7,2,Lance Bass,7.0,7.0,0.0
7,2,Kim Kardashian,10.5,11.0,-0.5
7,2,Rocco DiSpirito,10.5,10.0,0.5
7,2,Brooke Burke,1.5,1.5,0.0
7,4,Cloris Leachman,8.0,7.0,1.0
7,4,Susan Lucci,3.0,3.0,0.0
7,4,Cody Linley,4.0,4.0,0.0
7,4,Misty May-Treanor,5.0,9.0,-4.0
7,4,Maurice Greene,9.0,8.0,1.0
7,4,Warren Sapp,6.5,5.5,1.0
7,4,Toni Braxton,6.5,5.5,1.0
7,4,Lance Bass,1.0,1.0,0.0
7,4,Rocco DiSpirito,10.0,10.0,0.0
7,4,Brooke Burke,2.0,2.0,0.0
7,5,Cloris Leachman,8.5,6.5,2.0
7,5,Susan Lucci,6.0,5.0,1.0
7,5,Cody Linley,2.0,2.0,0.0
7,5,Misty May-Treanor,5.0,8.0,-3.0
7,5,Maurice Greene,3.0,3.0,0.0
7,5,Warren Sapp,4.0,4.0,0.0
7,5,Toni Braxton,7.0,9.0,-2.0
7,5,Lance Bass,8.5,6.5,2.0
7,5,Brooke Burke,1.0,1.0,0.0
7,6,Cloris Leachman,8.0,8.0,0.0
7,6,Susan Lucci,5.5,4.5,1.0
7,6,Cody Linley,5.5,4.5,1.0
7,6,Misty May-Treanor,4.0,7.0,-3.0
7,6,Maurice Greene,7.0,6.0,1.0
7,6,Warren Sapp,3.0,3.0,0.0
7,6,Lance Bass,1.0,1.0,0.0
7,6,Brooke Burke,2.0,2.0,0.0
7,7,Susan Lucci,6.0,7.0,-1.0
7,7,Cody Linley,5.0,4.0,1.0
7,7,Misty May-Treanor,4.0,6.0,-2.0
7,7,Maurice Greene,3.0,3.0,0.0
7,7,Warren Sapp,7.0,5.0,2.0
7,7,Lance Bass,2.0,2.0,0.0
7,7,Brooke Burke,1.0,1.0,0.0
7,8,Cody Linley,5.0,4.0,1.0
7,8,Misty May-Treanor,3.5,5.0,-1.5
7,8,Maurice Greene,6.0,6.0,0.0
7,8,Warren Sapp,2.0,2.0,0.0
7,8,Lance Bass,3.5,3.0,0.5
7,8,Brooke Burke,1.0,1.0,0.0
7,9,Cody Linley,5.0,5.0,0.0
7,9,Misty May-Treanor,3.0,4.0,-1.0
7,9,Warren Sapp,2.0,2.0,0.0
7,9,Lance Bass,1.0,1.0,0.0
7,9,Brooke Burke,4.0,3.0,1.0
8,2,Gilles Marini,1.0,1.0,0.0
8,2,Denise Richards,5.0,5.0,0.0
8,2,David Alan Grier,11.5,10.0,1.5
8,2,Lawrence Taylor,7.0,7.0,0.0
8,2,Ty Murray,7.0,7.0,0.0
8,2,Shawn Johnson,3.0,3.0,0.0
8,2,Steve Wozniak,13.0,11.0,2.0
8,2,Belinda Carlisle,11.5,13.0,-1.5
8,2,Chuck Wicks,7.0,7.0,0.0
8,2,Lil' Kim,4.0,4.0,0.0
8,2,Steve-O,9.0,12.0,-3.0
8,2,Holly Madison,10.0,9.0,1.0
8,2,Melissa Rycroft,2.0,2.0,0.0
8,3,Gilles Marini,1.5,1.5,0.0
8,3,Denise Richards,11.5,12.0,-0.5
8,3,David Alan Grier,5.0,5.0,0.0
8,3,Lawrence Taylor,8.0,8.0,0.0
8,3,Ty Murray,6.5,6.5,0.0
8,3,Shawn Johnson,1.5,1.5,0.0
8,3,Steve Wozniak,10.0,11.0,-1.0
8,3,Chuck Wicks,6.5,6.5,0.0
8,3,Lil' Kim,4.0,4.0,0.0
8,3,Steve-O,11.5,10.0,1.5
8,3,Holly Madison,9.0,9.0,0.0
8,3,Melissa Rycroft,3.0,3.0,0.0
8,4,Gilles Marini,1.0,1.0,0.0
8,4,David Alan Grier,6.5,6.5,0.0
8,4,Lawrence Taylor,8.0,8.0,0.0
8,4,Ty Murray,5.0,5.0,0.0
8,4,Shawn Johnson,4.0,4.0,0.0
8,4,Steve Wozniak,11.0,11.0,0.0
8,4,Chuck Wicks,6.5,6.5,0.0
8,4,Lil' Kim,3.0,3.0,0.0
8,4,Steve-O,10.0,10.0,0.0
8,4,Holly Madison,9.0,9.0,0.0
8,4,Melissa Rycroft,2.0,2.0,0.0
8,5,Gilles Marini,1.0,1.0,0.0
8,5,David Alan Grier,8.0,9.0,-1.0
8,5,Lawrence Taylor,9.0,7.0,2.0
8,5,Ty Murray,7.0,6.0,1.0
8,5,Shawn Johnson,2.5,2.5,0.0
8,5,Chuck Wicks,5.5,5.0,0.5
8,5,Lil' Kim,2.5,2.5,0.0
8,5,Steve-O,5.5,8.0,-2.5
8,5,Melissa Rycroft,4.0,4.0,0.0
8,6,Gilles Marini,3.5,3.5,0.0
8,6,Lawrence Taylor,6.0,6.0,0.0
8,6,Ty Murray,7.0,7.0,0.0
8,6,Shawn Johnson,3.5,3.5,0.0
8,6,Chuck Wicks,5.0,5.0,0.0
8,6,Lil' Kim,1.0,1.0,0.0
8,6,Steve-O,8.0,8.0,0.0
8,6,Melissa Rycroft,2.0,2.0,0.0
8,7,Gilles Marini,3.5,3.5,0.0
8,7,Lawrence Taylor,7.0,7.0,0.0
8,7,Ty Murray,6.0,6.0,0.0
8,7,Shawn Johnson,2.0,2.0,0.0
8,7,Chuck Wicks,3.5,3.5,0.0
8,7,Lil' Kim,5.0,5.0,0.0
8,7,Melissa Rycroft,1.0,1.0,0.0
8,8,Gilles Marini,2.0,2.0,0.0
8,8,Ty Murray,4.5,3.5,1.0
8,8,Shawn Johnson,4.5,3.5,1.0
8,8,Chuck Wicks,6.0,6.0,0.0
8,8,Lil' Kim,1.0,1.0,0.0
8,8,Melissa Rycroft,3.0,5.0,-2.0
8,9,Gilles Marini,3.0,2.5,0.5
8,9,Ty Murray,3.0,4.0,-1.0
8,9,Shawn Johnson,3.0,2.5,0.5
8,9,Lil' Kim,5.0,5.0,0.0
8,9,Melissa Rycroft,1.0,1.0,0.0
8,10,Gilles Marini,1.0,1.0,0.0
8,10,Ty Murray,4.0,4.0,0.0
8,10,Shawn Johnson,2.0,2.0,0.0
8,10,Melissa Rycroft,3.0,3.0,0.0
9,1,Ashley Hamiliton,16.0,16.0,0.0
9,1,Debi Mazar,10.0,10.0,0.0
9,1,Melissa Joan Hart,9.0,9.0,0.0
9,1,Mark Dacascos,6.0,6.0,0.0
9,1,Chuck Liddell,11.0,11.0,0.0
9,1,Natalie Coughlin,7.5,7.5,0.0
9,1,Louie Vito,7.5,7.5,0.0
9,1,Michael Irvin,14.0,15.0,-1.0
9,1,Joanna Krupa,1.0,1.0,0.0
9,1,Kathy Ireland,12.0,12.0,0.0
9,1,Tom DeLay,13.0,13.0,0.0
9,1,Macy Gray,15.0,14.0,1.0
9,1,Aaron Carter,2.0,2.0,0.0
9,1,Mya,3.0,3.0,0.0
9,1,Donny Osmond,5.0,5.0,0.0
9,1,Kelly Osbourne,4.0,4.0,0.0
9,2,Debi Mazar,5.0,5.0,0.0
9,2,Melissa Joan Hart,10.5,10.5,0.0
9,2,Mark Dacascos,5.0,5.0,0.0
9,2,Chuck Liddell,10.5,10.5,0.0
9,2,Natalie Coughlin,5.0,5.0,0.0
9,2,Louie Vito,10.5,10.5,0.0
9,2,Michael Irvin,7.5,7.5,0.0
9,2,Joanna Krupa,7.5,7.5,0.0
9,2,Kathy Ireland,14.0,14.0,0.0
9,2,Tom DeLay,13.0,13.0,0.0
9,2,Aaron Carter,1.5,1.5,0.0
9,2,Mya,1.5,1.5,0.0
9,2,Donny Osmond,3.0,3.0,0.0
9,2,Kelly Osbourne,10.5,10.5,0.0
9,3,Debi Mazar,12.0,13.0,-1.0
9,3,Melissa Joan Hart,8.0,8.0,0.0
9,3,Mark Dacascos,9.0,9.0,0.0
9,3,Chuck Liddell,11.0,10.0,1.0
9,3,Natalie Coughlin,2.0,2.0,0.0
9,3,Louie Vito,6.0,6.0,0.0
9,3,Michael Irvin,10.0,11.0,-1.0
9,3,Joanna Krupa,3.0,3.0,0.0
9,3,Tom DeLay,13.0,12.0,1.0
9,3,Aaron Carter,4.0,4.0,0.0
9,3,Mya,1.0,1.0,0.0
9,3,Donny Osmond,5.0,5.0,0.0
9,3,Kelly Osbourne,7.0,7.0,0.0
9,4,Melissa Joan Hart,1.5,1.5,0.0
9,4,Mark Dacascos,8.0,7.0,1.0
9,4,Chuck Liddell,11.0,12.0,-1.0
9,4,Natalie Coughlin,4.5,4.5,0.0
9,4,Louie Vito,11.0,9.5,1.5
9,4,Michael Irvin,11.0,9.5,1.5
9,4,Joanna Krupa,3.0,3.0,0.0
9,4,Tom DeLay,6.5,11.0,-4.5
9,4,Aaron Carter,9.0,8.0,1.0
9,4,Mya,1.5,1.5,0.0
9,4,Donny Osmond,4.5,4.5,0.0
9,4,Kelly Osbourne,6.5,6.0,0.5
9,5,Melissa Joan Hart,8.0,7.0,1.0
9,5,Mark Dacascos,3.0,3.0,0.0
9,5,Natalie Coughlin,10.0,11.0,-1.0
9,5,Louie Vito,9.0,8.0,1.0
9,5,Michael Irvin,11.0,9.0,2.0
9,5,Joanna Krupa,5.0,5.0,0.0
9,5,Tom DeLay,7.0,10.0,-3.0
9,5,Aaron Carter,5.0,5.0,0.0
9,5,Mya,2.0,2.0,0.0
9,5,Donny Osmond,1.0,1.0,0.0
9,5,Kelly Osbourne,5.0,5.0,0.0
9,6,Melissa Joan Hart,9.5,10.0,-0.5
9,6,Mark Dacascos,4.0,4.0,0.0
9,6,Louie Vito,8.0,7.0,1.0
9,6,Michael Irvin,9.5,8.0,1.5
9,6,Joanna Krupa,1.0,1.0,0.0
9,6,Tom DeLay,5.5,9.0,-3.5
9,6,Aaron Carter,3.0,3.0,0.0
9,6,Mya,2.0,2.0,0.0
9,6,Donny Osmond,5.5,5.0,0.5
9,6,Kelly Osbourne,7.0,6.0,1.0
9,7,Mark Dacascos,8.0,8.0,0.0
9,7,Michael Irvin,7.0,6.0,1.0
9,7,Joanna Krupa,1.0,1.0,0.0
9,7,Tom DeLay,5.0,7.0,-2.0
9,7,Aaron Carter,2.0,2.0,0.0
9,7,Mya,6.0,5.0,1.0
9,7,Donny Osmond,3.5,3.5,0.0
9,7,Kelly Osbourne,3.5,3.5,0.0
9,8,Joanna Krupa,2.0,2.0,0.0
9,8,Tom DeLay,3.5,5.0,-1.5
9,8,Aaron Carter,6.0,6.0,0.0
9,8,Mya,1.0,1.0,0.0
9,8,Donny Osmond,5.0,4.0,1.0
9,8,Kelly Osbourne,3.5,3.0,0.5
9,9,Joanna Krupa,4.0,5.0,-1.0
9,9,Tom DeLay,2.5,4.0,-1.5
9,9,Mya,1.0,1.0,0.0
9,9,Donny Osmond,5.0,3.0,2.0
9,9,Kelly Osbourne,2.5,2.0,0.5
10,2,Aiden Turner,8.0,7.0,1.0
10,2,Shannen Doherty,9.0,11.0,-2.0
10,2,Niecy Nash,5.0,5.0,0.0
10,2,Buzz Aldrin,6.0,9.0,-3.0
10,2,Chad Ochocinco,10.5,8.0,2.5
10,2,Evan Lysacek,2.0,2.0,0.0
10,2,Pamela Anderson,4.0,4.0,0.0
10,2,Nicole Scherzinger,1.0,1.0,0.0
10,2,Erin Andrews,3.0,3.0,0.0
10,2,Kate Gosselin,10.5,10.0,0.5
10,2,Jake Pavelka,7.0,6.0,1.0
10,3,Aiden Turner,7.5,7.5,0.0
