Season,Week,Contestant,Est_Fan_Votes,Certainty,Judge Score,Official Result,Model,J_ZScore,F_ZScore,New_Score,Dynamic_Weight_J,New_Rank,Original_Rank_Simulated
2,1,Drew Lachey,0.1545593656261149,0.5385238537176542,24.0,Safe,Improved,1.086099282057325,1.4497638276372165,1.2679315548472707,0.5,1.0,1.0
2,1,Kenny Mayne,0.0271253077050933,0.8980489661497576,13.0,Eliminated,Improved,-1.5688100740828028,-1.936442838491839,-1.752626456287321,0.5,10.0,9.5
2,2,Tatum O'Neal,0.0281845412528337,0.9161485420703468,17.0,Eliminated,Improved,-0.3711537444790451,-1.9887501339802354,-1.1799519392296403,0.5,9.0,9.0
2,2,Tia Carrere,0.0934421748789298,0.6874314202682364,22.0,Safe,Improved,0.24743582965269675,-0.18160262171494962,0.03291660396887357,0.5,6.0,6.0
2,2,George Hamilton,0.1045163597187483,0.7220379832262628,22.0,Safe,Improved,0.24743582965269675,0.12506932563621806,0.1862525776444574,0.5,5.0,5.0
2,2,Lisa Rinna,0.0847081474045998,0.6792958748071014,20.0,Safe,Improved,0.0,-0.4234697435405309,-0.21173487177026545,0.5,7.0,7.0
2,2,Stacy Keibler,0.1515501489610044,0.6444529688568141,29.0,Safe,Improved,1.1134612334371354,1.4275528896060148,1.2705070615215752,0.5,1.0,1.0
2,2,Jerry Rice,0.1146596069135915,0.6315847667039425,23.0,Safe,Improved,0.3711537444790451,0.40596127521991476,0.3885575098494799,0.5,4.0,4.0
2,2,Giselle Fernandez,0.1244950299425481,0.6767699474865463,24.0,Safe,Improved,0.4948716593053935,0.6783288017639341,0.5866002305346638,0.5,3.0,3.0
2,2,Master P,0.0733306233603756,0.7119019821808032,16.0,Safe,Improved,-0.4948716593053935,-0.7385419141016785,-0.616706786703536,0.5,8.0,9.0
2,2,Drew Lachey,0.1424089330327533,0.6257681696360262,27.0,Safe,Improved,0.8660254037844386,1.1744096984435823,1.0202175511140106,0.5,2.0,2.0
2,2,Kenny Mayne,0.082704434534615,0.7727501376317132,0.0,Safe,Improved,-2.4743582965269675,-0.47895757733226907,-1.4766579369296182,0.5,10.0,9.0
2,4,Tatum O'Neal,0.0728836273318803,0.7607051708776631,0.0,Safe,Improved,-1.2921720783791482,-0.8228306712545729,-1.0575013748168605,0.5,9.0,10.0
2,4,Tia Carrere,0.1126516080348564,0.7029209423273377,25.0,Safe,Improved,0.7524039950055799,0.3839057406085036,0.5681548678070417,0.5,4.0,4.0
2,4,George Hamilton,0.0967617583834011,0.6714018051569242,21.0,Safe,Improved,0.4252718232640234,-0.09826257205128232,0.16350462560637055,0.5,6.0,6.0
2,4,Lisa Rinna,0.1363958174375225,0.6819069321406162,26.0,Safe,Improved,0.834187037940969,1.104410064705465,0.9692985513232171,0.5,2.0,2.0
2,4,Stacy Keibler,0.1184748272979355,0.7191648762779264,26.0,Safe,Improved,0.834187037940969,0.5606079667412512,0.6973975023411101,0.5,3.0,3.0
2,4,Jerry Rice,0.1015709053606682,0.7719370436181822,24.0,Safe,Improved,0.6706209520701908,0.04766821610752295,0.35914458408885686,0.5,5.0,5.0
2,4,Giselle Fernandez,0.0929967451745241,0.7815234410985912,0.0,Safe,Improved,-1.2921720783791482,-0.21250972390521894,-0.7523409011421835,0.5,8.0,8.5
2,4,Master P,0.0272807739106531,0.929216541605761,8.0,Eliminated,Improved,-0.6379077348960353,-2.2066229266187287,-1.422265330757382,0.5,10.0,8.5
2,4,Drew Lachey,0.1431085216992354,0.6580731064763465,28.0,Safe,Improved,0.9977531238117473,1.3081031995211139,1.1529281616664306,0.5,1.0,1.0
2,4,Kenny Mayne,0.097875415369323,0.7414502127521525,0.0,Safe,Improved,-1.2921720783791482,-0.06446929385405521,-0.6783206861166017,0.5,7.0,7.0
2,5,Tatum O'Neal,0.0992501805816925,0.7907317335429699,0.0,Safe,Improved,-1.1458627629970632,-0.025997541290605632,-0.5859301521438345,0.5,8.0,8.0
2,5,Tia Carrere,0.0360516687773869,0.9402545061309728,22.0,Eliminated,Improved,0.5236061632238237,-2.217199689463743,-0.8467967631199596,0.5,10.0,9.0
2,5,George Hamilton,0.0846005087373435,0.7479299380975086,24.0,Safe,Improved,0.6753760656075407,-0.5339271032202919,0.0707244811936244,0.5,5.0,6.0
2,5,Lisa Rinna,0.1137648312102245,0.7035406021915773,25.0,Safe,Improved,0.7512610167993992,0.4772506006230008,0.6142558087112,0.5,3.0,3.0
2,5,Stacy Keibler,0.1460488687126652,0.6451075416246121,30.0,Safe,Improved,1.1306857727586916,1.5965942419115722,1.3636400073351318,0.5,1.0,1.0
2,5,Jerry Rice,0.0984508490236048,0.7787177195005432,23.0,Safe,Improved,0.5994911144156821,-0.053711754444988734,0.2728896799853467,0.5,4.0,4.0
2,5,Giselle Fernandez,0.0856739578782935,0.7469837766260774,0.0,Safe,Improved,-1.1458627629970632,-0.49670875746418164,-0.8212857602306225,0.5,9.0,10.0
2,5,Master P,0.1108185191063679,0.7906120025345105,0.0,Safe,Improved,-1.1458627629970632,0.3750968437252117,-0.3853829596359258,0.5,6.0,5.0
2,5,Drew Lachey,0.1227673804446718,0.6482918548306913,27.0,Safe,Improved,0.9030309191831162,0.7893846154656006,0.8462077673243584,0.5,2.0,2.0
2,5,Kenny Mayne,0.102573235527749,0.9407816891788036,0.0,Safe,Improved,-1.1458627629970632,0.08921854415842395,-0.5283221094193197,0.5,7.0,7.0
3,1,Harry Hamlin,0.0876929674099485,0.0,17.0,Safe,Improved,-0.5445602208425827,-0.5445602208425816,-0.5445602208425822,0.5,8.0,8.0
3,1,Vivica A. Fox,0.0947684391080617,1.1102230246251564e-14,22.0,Safe,Improved,0.6534722650110989,0.6534722650110951,0.653472265011097,0.5,3.5,3.5
3,1,Monique Coleman,0.0905231560891938,0.0,19.0,Safe,Improved,-0.06534722650111006,-0.06534722650110764,-0.06534722650110886,0.5,6.0,6.0
3,1,Joey Lawrence,0.0933533447684391,1.1102230246251563e-16,21.0,Safe,Improved,0.41386576784036255,0.4138657678403663,0.41386576784036444,0.5,5.0,5.0
3,1,Mario Lopez,0.1004288164665523,0.0,26.0,Safe,Improved,1.6118982536940443,1.6118982536940454,1.611898253694045,0.5,1.0,1.0
3,1,Emmitt Smith,0.097598627787307,0.0,24.0,Safe,Improved,1.1326852593525716,1.1326852593525714,1.1326852593525714,0.5,2.0,2.0
3,1,Shanna Moakler,0.0891080617495711,6.217248937900877e-15,18.0,Safe,Improved,-0.30495372367184637,-0.30495372367185286,-0.3049537236718496,0.5,7.0,7.0
3,1,Willa Ford,0.0947684391080617,5.218048215738236e-15,22.0,Safe,Improved,0.6534722650110989,0.6534722650110951,0.653472265011097,0.5,3.5,3.5
3,1,Sara Evans,0.0848627787307032,4.218847493575595e-15,15.0,Safe,Improved,-1.0237732151840553,-1.0237732151840555,-1.0237732151840553,0.5,10.0,10.0
3,1,Jerry Springer,0.0862778730703258,6.106226635438361e-15,16.0,Safe,Improved,-0.784166718013319,-0.7841667180133268,-0.7841667180133229,0.5,9.0,9.0
3,1,Tucker Carlson,0.0806174957118353,0.8748765008576328,12.0,Eliminated,Improved,-1.7425927066962643,-1.7425927066962608,-1.7425927066962625,0.5,11.0,11.0
3,2,Harry Hamlin,0.0910276679815439,0.1222391304347834,21.0,Safe,Improved,0.01218190367693296,0.0052404149520615135,0.008711159314497237,0.5,7.0,8.0
3,2,Vivica A. Fox,0.0949407114598048,0.1222391304347823,24.0,Safe,Improved,0.41418472501572495,0.1781741122287734,0.29617941862224917,0.5,3.5,3.5
3,2,Monique Coleman,0.0975494071119787,0.1222391304347825,26.0,Safe,Improved,0.682186605908253,0.2934632437465793,0.48782492482741613,0.5,2.0,2.0
3,2,Joey Lawrence,0.1014624505902395,0.1222391304347825,29.0,Safe,Improved,1.084189427247045,0.4663969410232869,0.7752931841351659,0.5,1.0,1.0
3,2,Mario Lopez,0.0910276679815439,0.1222391304347823,21.0,Safe,Improved,0.01218190367693296,0.0052404149520615135,0.008711159314497237,0.5,7.0,8.0
3,2,Emmitt Smith,0.0949407114598048,0.1222391304347826,24.0,Safe,Improved,0.41418472501572495,0.1781741122287734,0.29617941862224917,0.5,3.5,3.5
3,2,Shanna Moakler,0.0301081027787045,0.9139249011857706,22.0,Eliminated,Improved,0.14618284412319696,-2.687049028174412,-1.2704330920256075,0.5,11.0,10.0
3,2,Willa Ford,0.0936363636337178,0.1222391304347823,23.0,Safe,Improved,0.28018378456946097,0.120529546469868,0.2003566655196645,0.5,5.0,5.0
3,2,Sara Evans,0.0910276679815439,0.1222391304347826,21.0,Safe,Improved,0.01218190367693296,0.0052404149520615135,0.008711159314497237,0.5,7.0,8.0
3,2,Jerry Springer,0.08841897232937,0.1222391304347824,19.0,Safe,Improved,-0.255819977215595,-0.11004871656574437,-0.1829343468906697,0.5,9.0,11.0
3,2,Tucker Carlson,0.125860276691748,0.1222391304347818,0.0,Safe,Improved,-2.8018378456946107,1.544638544186688,-0.6285996507539614,0.5,10.0,6.0
3,3,Harry Hamlin,0.0033442541355585,0.9245529205094426,22.0,Eliminated,Improved,0.3307159610751751,-2.9499712439395496,-1.3096276414321872,0.5,11.0,9.0
3,3,Vivica A. Fox,0.1027667984189723,0.2325840579710149,27.0,Safe,Improved,0.8504124713361643,0.3994742348879628,0.6249433531120635,0.5,1.5,1.5
3,3,Monique Coleman,0.1027667984189723,0.2325840579710142,27.0,Safe,Improved,0.8504124713361643,0.3994742348879628,0.6249433531120635,0.5,1.5,1.5
3,3,Joey Lawrence,0.0955204216073781,0.2325840579710143,22.0,Safe,Improved,0.3307159610751751,0.15535109134531894,0.24303352621024701,0.5,5.0,6.5
3,3,Mario Lopez,0.0955204216073781,0.2325840579710137,22.0,Safe,Improved,0.3307159610751751,0.15535109134531894,0.24303352621024701,0.5,5.0,6.5
3,3,Emmitt Smith,0.0911725955204216,0.2325840579710143,19.0,Safe,Improved,0.018898054918581594,0.008877205219733245,0.01388763006915742,0.5,8.0,11.0
3,3,Shanna Moakler,0.1097244473722734,0.232584057971014,0.0,Safe,Improved,-1.9559486840731775,0.6338704274001181,-0.6610391283365297,0.5,10.0,6.5
3,3,Willa Ford,0.0955204216073781,0.232584057971014,22.0,Safe,Improved,0.3307159610751751,0.15535109134531894,0.24303352621024701,0.5,5.0,6.5
3,3,Sara Evans,0.0998682476943346,0.2325840579710144,25.0,Safe,Improved,0.6425338672317686,0.3018249774709046,0.4721794223513366,0.5,3.0,3.0
3,3,Jerry Springer,0.0940711462450593,0.2325840579710152,21.0,Safe,Improved,0.22677665902297728,0.10652646263679146,0.16665156082988436,0.5,7.0,10.0
3,3,Tucker Carlson,0.1097244473722735,0.2325840579710143,0.0,Safe,Improved,-1.9559486840731775,0.6338704274001219,-0.6610391283365278,0.5,9.0,4.0
3,4,Harry Hamlin,0.1213121212121212,0.3946393939393928,0.0,Safe,Improved,-1.5201921944712258,0.9090163638154656,-0.3055879153278801,0.5,8.0,4.0
3,4,Vivica A. Fox,0.0,0.9394848484848484,24.0,Eliminated,Improved,0.5067307314904086,-2.718079429329605,-1.1056743489195981,0.5,11.0,9.5
3,4,Monique Coleman,0.0895675324675324,0.3946393939393943,24.0,Safe,Improved,0.5067307314904086,-0.040111086435678976,0.23330982252736482,0.5,5.0,8.0
3,4,Joey Lawrence,0.094112987012987,0.3946393939393933,27.0,Safe,Improved,0.7600960972356129,0.09579288503080262,0.42794449113320776,0.5,3.0,3.0
3,4,Mario Lopez,0.09714329004329,0.394639393939393,29.0,Safe,Improved,0.9290063410657491,0.18639553267512216,0.5577009368704356,0.5,1.0,1.0
3,4,Emmitt Smith,0.0895675324675325,0.3946393939393937,24.0,Safe,Improved,0.5067307314904086,-0.04011108643567607,0.23330982252736626,0.5,4.0,5.0
3,4,Shanna Moakler,0.1213121212121211,0.3946393939393936,0.0,Safe,Improved,-1.5201921944712258,0.9090163638154622,-0.30558791532788177,0.5,9.5,6.5
3,4,Willa Ford,0.0956281385281385,0.3946393939393944,28.0,Safe,Improved,0.844551219150681,0.14109420885296262,0.4928227140018218,0.5,2.0,2.0
3,4,Sara Evans,0.0835069264069264,0.3946393939393933,20.0,Safe,Improved,0.1689102438301362,-0.22131638172431764,-0.02620306894709072,0.5,7.0,11.0
3,4,Jerry Springer,0.0865372294372294,0.3946393939393939,22.0,Safe,Improved,0.3378204876602724,-0.1307137340799985,0.10355337679013694,0.5,6.0,9.5
3,4,Tucker Carlson,0.1213121212121211,0.394639393939394,0.0,Safe,Improved,-1.5201921944712258,0.9090163638154622,-0.30558791532788177,0.5,9.5,6.5
3,5,Harry Hamlin,0.1492712707182321,0.6418839779005502,0.0,Safe,Improved,-1.2565748466696935,1.1601550987186109,-0.04820987397554133,0.5,8.0,5.0
3,5,Vivica A. Fox,0.1492712707182321,0.641883977900552,0.0,Safe,Improved,-1.2565748466696935,1.1601550987186109,-0.04820987397554133,0.5,8.0,5.0
3,5,Monique Coleman,0.0693624309392265,0.641883977900552,27.0,Safe,Improved,0.8053186862634502,-0.42831620590838554,0.1885012401775323,0.5,1.5,1.5
3,5,Joey Lawrence,0.0660475138121546,0.6418839779005543,25.0,Safe,Improved,0.6525858319721062,-0.49421192843586653,0.07918695176811982,0.5,4.0,7.0
3,5,Mario Lopez,0.0693624309392264,0.6418839779005534,27.0,Safe,Improved,0.8053186862634502,-0.42831620590838776,0.1885012401775312,0.5,3.0,3.0
3,5,Emmitt Smith,0.0693624309392265,0.6418839779005527,27.0,Safe,Improved,0.8053186862634502,-0.42831620590838554,0.1885012401775323,0.5,1.5,1.5
3,5,Shanna Moakler,0.1492712707182321,0.6418839779005522,0.0,Safe,Improved,-1.2565748466696935,1.1601550987186109,-0.04820987397554133,0.5,8.0,5.0
3,5,Willa Ford,0.0,0.9674439979909591,27.0,Eliminated,Improved,0.8053186862634502,-1.807140269314205,-0.5009107915253774,0.5,11.0,8.5
3,5,Sara Evans,0.0643900552486187,0.6418839779005523,24.0,Safe,Improved,0.5762194048264342,-0.527159789699606,0.024529807563414108,0.5,5.5,10.5
3,5,Jerry Springer,0.0643900552486187,0.6418839779005525,24.0,Safe,Improved,0.5762194048264342,-0.527159789699606,0.024529807563414108,0.5,5.5,10.5
3,5,Tucker Carlson,0.149271270718232,0.6418839779005532,0.0,Safe,Improved,-1.2565748466696935,1.1601550987186091,-0.04820987397554222,0.5,10.0,8.5
4,2,John Ratzenberger,0.0893506493506493,0.0168265306122447,21.0,Safe,Improved,-0.47371969597530456,-0.36971991206480176,-0.42171980402005316,0.5,7.0,8.0
4,2,Ian Ziering,0.0905751391465677,0.0168265306122447,22.0,Safe,Improved,-0.10151136342327974,-0.07922569544244928,-0.09036852943286451,0.5,5.0,5.0
4,2,Clyde Drexler,0.0936863636363636,0.016826530612245,18.0,Safe,Improved,-1.590344693631379,0.6588716932921549,-0.46573650016961204,0.5,9.0,6.0
4,2,Laila Ali,0.0966975881261595,0.0168265306122447,27.0,Safe,Improved,1.7595302993368442,1.3732453876692703,1.5663878435030574,0.5,1.0,1.0
4,2,Apolo Anton Ohno,0.0954730983302411,0.0168265306122448,26.0,Safe,Improved,1.3873219667848196,1.0827511710469178,1.2350365689158687,0.5,2.0,2.0
4,2,Shandi Finnessey,0.0881261595547309,0.0168265306122445,20.0,Safe,Improved,-0.8459280285273294,-0.6602141286871575,-0.7530710786072434,0.5,10.0,11.0
4,2,Paulina Porizkova,0.0813414656771799,0.903987012987013,21.0,Eliminated,Improved,-0.47371969597530456,-2.2697941672887993,-1.371756931632052,0.5,11.0,10.0
4,2,Heather Mills,0.0930241187384044,0.0168265306122448,24.0,Safe,Improved,0.6429053016807699,0.5017627378022326,0.5723340197415012,0.5,3.5,3.5
4,2,Billy Ray Cyrus,0.0893506493506493,0.0168265306122449,21.0,Safe,Improved,-0.47371969597530456,-0.36971991206480176,-0.42171980402005316,0.5,7.0,8.0
4,2,Joey Fatone,0.0930241187384044,0.0168265306122448,24.0,Safe,Improved,0.6429053016807699,0.5017627378022326,0.5723340197415012,0.5,3.5,3.5
4,2,Leeza Gibbons,0.0893506493506493,0.0168265306122445,21.0,Safe,Improved,-0.47371969597530456,-0.36971991206480176,-0.42171980402005316,0.5,7.0,8.0
4,3,John Ratzenberger,0.0911592994161801,0.1243532110091726,20.0,Safe,Improved,0.025930763940894157,0.011011751674484049,0.0184712578076891,0.5,8.0,9.5
4,3,Ian Ziering,0.0966638865721434,0.1243532110091742,24.0,Safe,Improved,0.5964075706405606,0.2532702885131405,0.42483892957685054,0.5,2.5,2.5
4,3,Clyde Drexler,0.0856547122602168,0.1243532110091741,16.0,Safe,Improved,-0.5445460427587723,-0.23124678516417235,-0.38789641396147234,0.5,9.0,11.0
4,3,Laila Ali,0.0925354462051709,0.1243532110091742,21.0,Safe,Improved,0.16854996561581076,0.07157638588414693,0.12006317574997885,0.5,6.5,7.5
4,3,Apolo Anton Ohno,0.0952877397831526,0.1243532110091744,23.0,Safe,Improved,0.45378836896564395,0.19270565430347697,0.3232470116345605,0.5,5.0,5.0
4,3,Shandi Finnessey,0.0298707673060884,0.914603002502085,21.0,Eliminated,Improved,0.16854996561581076,-2.686314985698518,-1.2588825100413534,0.5,11.0,9.5
4,3,Paulina Porizkova,0.1263010425354462,0.1243532110091741,0.0,Safe,Improved,-2.826453269557438,1.557610439063871,-0.6344214152467835,0.5,10.0,6.0
4,3,Heather Mills,0.0966638865721434,0.1243532110091742,24.0,Safe,Improved,0.5964075706405606,0.2532702885131405,0.42483892957685054,0.5,2.5,2.5
4,3,Billy Ray Cyrus,0.0925354462051709,0.1243532110091738,21.0,Safe,Improved,0.16854996561581076,0.07157638588414693,0.12006317574997885,0.5,6.5,7.5
4,3,Joey Fatone,0.0966638865721434,0.1243532110091741,24.0,Safe,Improved,0.5964075706405606,0.2532702885131405,0.42483892957685054,0.5,2.5,2.5
4,3,Leeza Gibbons,0.0966638865721434,0.1243532110091748,24.0,Safe,Improved,0.5964075706405606,0.2532702885131405,0.42483892957685054,0.5,2.5,2.5
4,4,John Ratzenberger,0.088899521536392,0.1740842105263156,16.0,Safe,Improved,-0.13399491430586682,-0.07844516610210228,-0.10622004020398455,0.5,7.0,9.0
4,4,Ian Ziering,0.1015311004837605,0.1740842105263159,24.0,Safe,Improved,0.7082588327595815,0.4146387364094903,0.5614487845845358,0.5,3.0,3.0
4,4,Clyde Drexler,0.087320574167971,0.1740842105263153,15.0,Safe,Improved,-0.23927663268904786,-0.14008065391604885,-0.18967864330254836,0.5,8.0,11.0
4,4,Laila Ali,0.0967942583784973,0.1740842105263158,21.0,Safe,Improved,0.3924136776100383,0.22973227296764245,0.31107297528884037,0.5,5.5,5.5
4,4,Apolo Anton Ohno,0.1046889952206026,0.1740842105263161,26.0,Safe,Improved,0.9188222695259435,0.5379097120373871,0.7283659907816653,0.5,2.0,2.0
4,4,Shandi Finnessey,0.1001609250257614,0.1740842105263159,0.0,Safe,Improved,-1.8185024084367634,0.3611528290046561,-0.7286747897160536,0.5,9.5,7.5
4,4,Paulina Porizkova,0.1001609250257614,0.1740842105263161,0.0,Safe,Improved,-1.8185024084367634,0.3611528290046561,-0.7286747897160536,0.5,9.5,7.5
4,4,Heather Mills,0.0999521531153394,0.1740842105263154,23.0,Safe,Improved,0.6029771143764004,0.3530032485955399,0.47799018148597017,0.5,4.0,4.0
4,4,Billy Ray Cyrus,0.0967942583784973,0.1740842105263156,21.0,Safe,Improved,0.3924136776100383,0.22973227296764245,0.31107297528884037,0.5,5.5,5.5
4,4,Joey Fatone,0.1078468899574447,0.174084210526316,28.0,Safe,Improved,1.1293857062923056,0.661180687665284,0.8952831969787949,0.5,1.0,1.0
4,4,Leeza Gibbons,0.015850398709972,0.9024832535885168,16.0,Eliminated,Improved,-0.13399491430586682,-2.9299767686341522,-1.5319858414700096,0.5,11.0,10.0
4,5,John Ratzenberger,0.0943181818181818,0.2218909090909083,18.0,Safe,Improved,0.1759538357694467,0.12457736680147821,0.15026560128546246,0.5,6.0,6.0
4,5,Ian Ziering,0.1045454545454545,0.2218909090909081,24.0,Safe,Improved,0.7038153430777868,0.49830946720590624,0.6010624051418465,0.5,4.0,4.0
4,5,Clyde Drexler,0.013703409090909,0.8921363636363634,13.0,Eliminated,Improved,-0.26393075365417007,-2.821303625953037,-1.5426171898036034,0.5,11.0,9.5
4,5,Laila Ali,0.1113636363636363,0.2218909090909095,28.0,Safe,Improved,1.0557230146166803,0.7474642008088586,0.9015936077127694,0.5,2.0,2.0
4,5,Apolo Anton Ohno,0.1147727272727272,0.2218909090909092,30.0,Safe,Improved,1.2316768503861268,0.8720415676103348,1.0518592089982308,0.5,1.0,1.0
4,5,Shandi Finnessey,0.0876670454545454,0.2218909090909087,0.0,Safe,Improved,-1.4076306861555736,-0.11847307582820359,-0.7630518809918886,0.5,9.0,9.5
4,5,Paulina Porizkova,0.0876670454545454,0.2218909090909089,0.0,Safe,Improved,-1.4076306861555736,-0.11847307582820359,-0.7630518809918886,0.5,9.0,9.5
4,5,Heather Mills,0.0994318181818181,0.2218909090909088,21.0,Safe,Improved,0.43988458942361675,0.3114434170036902,0.37566400321365345,0.5,5.0,5.0
4,5,Billy Ray Cyrus,0.0926136363636363,0.2218909090909089,17.0,Safe,Improved,0.08797691788472335,0.06228868340073834,0.07513280064273084,0.5,7.0,7.0
4,5,Joey Fatone,0.10625,0.2218909090909089,25.0,Safe,Improved,0.7917922609625102,0.5605981506066461,0.6761952057845781,0.5,3.0,3.0
4,5,Leeza Gibbons,0.0876670454545454,0.2218909090909091,0.0,Safe,Improved,-1.4076306861555736,-0.11847307582820359,-0.7630518809918886,0.5,9.0,9.5
4,6,John Ratzenberger,0.0666980392156863,0.5770705882352927,19.0,Safe,Improved,0.28235379677781447,-0.5759408219735868,-0.14679351259788614,0.5,10.0,11.0
4,6,Ian Ziering,0.075521568627451,0.5770705882352944,24.0,Safe,Improved,0.680545048643963,-0.3660436706034858,0.15725068902023862,0.5,4.0,6.0
4,6,Clyde Drexler,0.1353941176470588,0.577070588235294,0.0,Safe,Improved,-1.2307729603135504,1.058225110971188,-0.08627392467118122,0.5,6.5,4.5
4,6,Laila Ali,0.0825803921568627,0.5770705882352942,28.0,Safe,Improved,0.999098050136882,-0.19812594950740645,0.4004860503147378,0.5,1.5,1.5
4,6,Apolo Anton Ohno,0.0825803921568627,0.5770705882352942,28.0,Safe,Improved,0.999098050136882,-0.19812594950740645,0.4004860503147378,0.5,1.5,1.5
4,6,Shandi Finnessey,0.1353941176470588,0.577070588235294,0.0,Safe,Improved,-1.2307729603135504,1.058225110971188,-0.08627392467118122,0.5,6.5,4.5
4,6,Paulina Porizkova,0.1353941176470587,0.5770705882352942,0.0,Safe,Improved,-1.2307729603135504,1.0582251109711853,-0.08627392467118256,0.5,8.5,7.5
4,6,Heather Mills,1.3877787807814457e-17,0.9535668449197858,23.0,Eliminated,Improved,0.6009067982707333,-2.162576711085889,-0.7808349564075778,0.5,11.0,10.0
4,6,Billy Ray Cyrus,0.0702274509803921,0.5770705882352941,21.0,Safe,Improved,0.4416302975242739,-0.49198196142554845,-0.025175831950637273,0.5,5.0,9.0
4,6,Joey Fatone,0.0808156862745098,0.5770705882352944,27.0,Safe,Improved,0.9194597997636522,-0.2401053797814258,0.3396772099911132,0.5,3.0,3.0
4,6,Leeza Gibbons,0.1353941176470587,0.5770705882352948,0.0,Safe,Improved,-1.2307729603135504,1.0582251109711853,-0.08627392467118256,0.5,8.5,7.5
4,7,John Ratzenberger,6.938893903907227e-17,0.96592851492269,22.5,Eliminated,Improved,0.6140480186434807,-1.6519136490283652,-0.5189328151924423,0.5,11.0,10.5
4,7,Ian Ziering,0.0554339805825243,0.7514090614886729,27.0,Safe,Improved,0.9408800285666236,-0.6446200084416677,0.14813001006247795,0.5,3.5,6.5
4,7,Clyde Drexler,0.145731067961165,0.7514090614886745,0.0,Safe,Improved,-1.0201120309722338,0.9961728937494527,-0.011969568611390535,0.5,6.0,4.0
4,7,Laila Ali,0.0602883495145631,0.7514090614886726,29.5,Safe,Improved,1.122453367412814,-0.5564110271828719,0.2830211701149711,0.5,1.5,1.5
4,7,Apolo Anton Ohno,0.0554339805825243,0.7514090614886713,27.0,Safe,Improved,0.9408800285666236,-0.6446200084416677,0.14813001006247795,0.5,3.5,6.5
